director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar,Action Adventure Fantasy Sci-Fi CCH PounderJoel David Moore Wes Studi avatar James Cameron
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end,Action Adventure Fantasy Johnny DeppOrlando Bloom Jack Davenport pirates of the caribbean: at world's end Gore Verbinski
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,spectre,Action Adventure Thriller Christoph WaltzRory Kinnear Stephanie Sigman spectre Sam Mendes
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,the dark knight rises,Action Thriller Tom HardyChristian Bale Joseph Gordon-Levitt the dark knight rises Christopher Nolan
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,Documentary Doug WalkerRob Walker unknown star wars: episode vii - the force awakens             Doug Walker
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,john carter,Action Adventure Sci-Fi Daryl SabaraSamantha Morton Polly Walker john carter Andrew Stanton
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Adventure Animation Comedy Family Fantasy Musical Romance Brad GarrettDonna Murphy M.C. Gainey tangled Nathan Greno
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron,Action Adventure Sci-Fi Chris HemsworthRobert Downey Jr. Scarlett Johansson avengers: age of ultron Joss Whedon
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,Adventure Family Fantasy Mystery Alan RickmanDaniel Radcliffe Rupert Grint harry potter and the half-blood prince David Yates
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,Action Adventure Sci-Fi Henry CavillLauren Cohan Alan D. Purwin batman v superman: dawn of justice Zack Snyder
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,Action Adventure Sci-Fi Kevin SpaceyMarlon Brando Frank Langella superman returns Bryan Singer
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,Action Adventure Giancarlo GianniniMathieu Amalric Rory Kinnear quantum of solace Marc Forster
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Action Adventure Fantasy Johnny DeppOrlando Bloom Jack Davenport pirates of the caribbean: dead man's chest Gore Verbinski
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,Action Adventure Western Johnny DeppRuth Wilson Tom Wilkinson the lone ranger Gore Verbinski
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,Action Adventure Fantasy Sci-Fi Henry CavillChristopher Meloni Harry Lennix man of steel Zack Snyder
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Action Adventure Family Fantasy Peter DinklagePierfrancesco Favino Damián Alcázar the chronicles of narnia: prince caspian Andrew Adamson
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Action Adventure Fantasy Johnny DeppSam Claflin Stephen Graham pirates of the caribbean: on stranger tides Rob Marshall
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi Will SmithMichael Stuhlbarg Nicole Scherzinger men in black 3 Barry Sonnenfeld
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,Adventure Fantasy Aidan TurnerAdam Brown James Nesbitt the hobbit: the battle of the five armies Peter Jackson
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,Action Adventure Fantasy Emma StoneAndrew Garfield Chris Zylka the amazing spider-man Marc Webb
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,Action Adventure Drama History Mark AddyWilliam Hurt Scott Grimes robin hood Ridley Scott
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,Adventure Fantasy Aidan TurnerAdam Brown James Nesbitt the hobbit: the desolation of smaug Peter Jackson
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,Adventure Family Fantasy Christopher LeeEva Green Kristin Scott Thomas the golden compass Chris Weitz
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,Drama Romance Leonardo DiCaprioKate Winslet Gloria Stuart titanic James Cameron
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,Action Adventure Sci-Fi Robert Downey Jr.Scarlett Johansson Chris Evans captain america: civil war Anthony Russo
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,Action Adventure Sci-Fi Thriller Liam NeesonAlexander Skarsgård Tadanobu Asano battleship Peter Berg
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,Action Adventure Sci-Fi Thriller Bryce Dallas HowardJudy Greer Omar Sy jurassic world Colin Trevorrow
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,Action Adventure Fantasy Romance J.K. SimmonsJames Franco Kirsten Dunst spider-man 2 Sam Raimi
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,Action Adventure Sci-Fi Robert Downey Jr.Jon Favreau Don Cheadle iron man 3 Shane Black
